"artist","name","birthPlace","works"
"http://dbpedia.org/resource/Carl_Andre","Carl Andre","Quincy, Massachusetts, US","Lever"
"http://dbpedia.org/resource/Carl_Andre","Carl Andre","Quincy, Massachusetts, US","Equivalent VIII"
"http://dbpedia.org/resource/Caroline_Shawk_Brooks","Caroline Shawk Brooks","Cincinnati, Ohio","Dreaming Iolanthe"
"http://dbpedia.org/resource/Rudulph_Evans","Rudulph Evans","Washington, D.C., U.S.","Statue of Thomas Jefferson inside the Jefferson Memorial"
"http://dbpedia.org/resource/Bogdan_Rață","Bogdan Rața","Baia Mare, Romania","Lonely ,"
"http://dbpedia.org/resource/Bogdan_Rață","Bogdan Rața","Baia Mare, Romania","Pray ,"
"http://dbpedia.org/resource/Bogdan_Rață","Bogdan Rața","Baia Mare, Romania","Scream ,"
"http://dbpedia.org/resource/Bogdan_Rață","Bogdan Rața","Baia Mare, Romania","The Middle Way"
"http://dbpedia.org/resource/Denis_Foyatier","Denis Foyatier","http://dbpedia.org/resource/Bussières,_Loire","Spartacus"
"http://dbpedia.org/resource/Joseph_Hermon_Cawthra","Joseph Hermon Cawthra","Baildon, Yorkshire, England","War memorials, sculptures"
"http://dbpedia.org/resource/Juan_Manuel_Ferrari","Juan Manuel Ferrari","Montevideo, Uruguay","Cerro de la Gloria, Argentina"
"http://dbpedia.org/resource/Juan_Manuel_Ferrari","Juan Manuel Ferrari","Montevideo, Uruguay","Monumento a la Independencia Nacional – Florida, Uruguay"
"http://dbpedia.org/resource/Julian_Opie","Julian Opie","London, England",""
"http://dbpedia.org/resource/Julian_Opie","Julian Opie","London, England","Ann Dancing"
"http://dbpedia.org/resource/Julian_Opie","Julian Opie","London, England","Reclining Nude"
"http://dbpedia.org/resource/Peter_Hide","Peter Hide","Carshalton, Surrey, UK","""Oddball"", ""The Conquest of Happiness"""
"http://dbpedia.org/resource/Robert_Graham_(sculptor)","Robert Graham","Mexico City, Mexico","Joe Louis Memorial – Detroit, Michigan"
